training_size,cost,gamma,param_type,trial_id,seeds,total,correct,accuracy,misclassification
108,100.0,0.01,se1_error,D015,8579,2586,2183,0.8441608662026295,0.15583913379737047
108,100.0,0.01,se1_error,D016,7205,2586,2080,0.8043310131477185,0.1956689868522815
108,100.0,0.01,se1_error,D017,9034,2586,2142,0.8283062645011601,0.17169373549883993
108,100.0,0.01,se1_error,D018,652,2586,2174,0.8406805877803558,0.15931941221964419
108,100.0,0.01,se1_error,D019,1180,2586,2119,0.8194122196442382,0.18058778035576184
108,100.0,0.01,se1_error,D020,7953,2586,2147,0.8302397525135344,0.16976024748646557
108,100.0,0.01,se1_error,D021,1942,2586,2127,0.8225058004640371,0.1774941995359629
108,100.0,0.01,se1_error,D022,3043,2586,2117,0.8186388244392885,0.18136117556071152
108,100.0,0.01,se1_error,D023,1508,2586,2217,0.857308584686775,0.14269141531322505
108,100.0,0.01,se1_error,D024,7926,2586,2161,0.8356535189481825,0.16434648105181748
108,100.0,0.01,se1_error,D025,3865,2586,2216,0.8569218870843001,0.14307811291569994
108,100.0,0.01,se1_error,D026,4082,2586,2184,0.8445475638051044,0.15545243619489557
108,100.0,0.01,se1_error,D027,3436,2586,2046,0.7911832946635731,0.20881670533642693
108,100.0,0.01,se1_error,D028,2642,2586,2135,0.825599381283836,0.17440061871616397
108,100.0,0.01,se1_error,D029,6701,2586,2176,0.8414539829853055,0.1585460170146945
108,100.0,0.01,se1_error,D030,4509,2586,2170,0.8391337973704563,0.16086620262954365
108,100.0,0.01,se1_error,D031,1230,2586,2153,0.8325599381283836,0.16744006187161642
