training_size,model_type,seeds,df,trial_id,lambda_type,lambda,total,correct,accuracy,misclassification
1347,ridge,5973,53,F050,lambda_1se,0.1578388007813352,2695,2367,0.8782931354359926,0.12170686456400737
1347,ridge,8429,53,F051,lambda_1se,0.1578388007813352,2695,2376,0.8816326530612245,0.11836734693877549
1347,ridge,3808,53,F052,lambda_1se,0.1578388007813352,2695,2377,0.8820037105751392,0.11799628942486085
1347,ridge,3779,53,F053,lambda_1se,0.1578388007813352,2695,2388,0.8860853432282003,0.11391465677179968
1347,ridge,9336,53,F054,lambda_1se,0.1578388007813352,2695,2385,0.8849721706864564,0.1150278293135436
1347,ridge,9590,53,F055,lambda_1se,0.1578388007813352,2695,2348,0.8712430426716141,0.12875695732838588
1347,ridge,7449,53,F056,lambda_1se,0.1578388007813352,2695,2385,0.8849721706864564,0.1150278293135436
1347,ridge,8471,53,F057,lambda_1se,0.1578388007813352,2695,2385,0.8849721706864564,0.1150278293135436
1347,ridge,9588,53,F058,lambda_1se,0.1578388007813352,2695,2386,0.885343228200371,0.11465677179962896
1347,ridge,682,53,F059,lambda_1se,0.1578388007813352,2695,2374,0.8808905380333952,0.11910946196660477
1347,ridge,5634,53,F060,lambda_1se,0.1578388007813352,2695,2391,0.8871985157699444,0.11280148423005565
1347,ridge,6414,53,F061,lambda_1se,0.1578388007813352,2695,2374,0.8808905380333952,0.11910946196660477
1347,ridge,2411,53,F062,lambda_1se,0.1578388007813352,2695,2395,0.8886827458256029,0.11131725417439708
1347,ridge,5245,53,F063,lambda_1se,0.1578388007813352,2695,2389,0.8864564007421151,0.11354359925788493
1347,ridge,1415,53,F064,lambda_1se,0.1578388007813352,2695,2374,0.8808905380333952,0.11910946196660477
1347,ridge,1474,53,F065,lambda_1se,0.1578388007813352,2695,2354,0.8734693877551021,0.12653061224489792
1347,ridge,8998,53,F066,lambda_1se,0.1578388007813352,2695,2391,0.8871985157699444,0.11280148423005565
1347,ridge,8454,53,F067,lambda_1se,0.1578388007813352,2695,2374,0.8808905380333952,0.11910946196660477
1347,ridge,5637,53,F068,lambda_1se,0.1578388007813352,2695,2390,0.8868274582560297,0.11317254174397029
1347,ridge,3137,53,F069,lambda_1se,0.1578388007813352,2695,2380,0.8831168831168831,0.11688311688311692
1347,ridge,5169,53,F070,lambda_1se,0.1578388007813352,2695,2376,0.8816326530612245,0.11836734693877549
1347,ridge,6486,53,F071,lambda_1se,0.1578388007813352,2695,2372,0.8801484230055658,0.11985157699443416
1347,ridge,2734,53,F072,lambda_1se,0.1578388007813352,2695,2369,0.8790352504638219,0.12096474953617808
1347,ridge,9109,53,F073,lambda_1se,0.1578388007813352,2695,2407,0.8931354359925788,0.10686456400742117
1347,ridge,5490,53,F074,lambda_1se,0.1578388007813352,2695,2368,0.8786641929499073,0.12133580705009273
1347,ridge,4927,53,F075,lambda_1se,0.1578388007813352,2695,2368,0.8786641929499073,0.12133580705009273
1347,ridge,3356,53,F076,lambda_1se,0.1578388007813352,2695,2369,0.8790352504638219,0.12096474953617808
1347,ridge,8721,53,F077,lambda_1se,0.1578388007813352,2695,2375,0.8812615955473099,0.11873840445269013
1347,ridge,4921,53,F078,lambda_1se,0.1578388007813352,2695,2375,0.8812615955473099,0.11873840445269013
1347,ridge,129,53,F079,lambda_1se,0.1578388007813352,2695,2386,0.885343228200371,0.11465677179962896
1347,ridge,4302,53,F080,lambda_1se,0.1578388007813352,2695,2370,0.8794063079777366,0.12059369202226344
1347,ridge,547,53,F081,lambda_1se,0.1578388007813352,2695,2383,0.8842300556586271,0.11576994434137289
1347,ridge,9162,53,F082,lambda_1se,0.1578388007813352,2695,2384,0.8846011131725418,0.11539888682745825
1347,ridge,1424,53,F083,lambda_1se,0.1578388007813352,2695,2415,0.8961038961038961,0.10389610389610393
1347,ridge,4070,53,F084,lambda_1se,0.1578388007813352,2695,2372,0.8801484230055658,0.11985157699443416
1347,ridge,5242,53,F085,lambda_1se,0.1578388007813352,2695,2373,0.8805194805194805,0.11948051948051952
1347,ridge,9148,53,F086,lambda_1se,0.1578388007813352,2695,2367,0.8782931354359926,0.12170686456400737
1347,ridge,131,53,F087,lambda_1se,0.1578388007813352,2695,2348,0.8712430426716141,0.12875695732838588
1347,ridge,6559,53,F088,lambda_1se,0.1578388007813352,2695,2376,0.8816326530612245,0.11836734693877549
1347,ridge,2443,53,F089,lambda_1se,0.1578388007813352,2695,2382,0.8838589981447125,0.11614100185528753
1347,ridge,1677,53,F090,lambda_1se,0.1578388007813352,2695,2371,0.8797773654916512,0.1202226345083488
1347,ridge,5323,53,F091,lambda_1se,0.1578388007813352,2695,2393,0.8879406307977736,0.11205936920222637
1347,ridge,6607,53,F092,lambda_1se,0.1578388007813352,2695,2393,0.8879406307977736,0.11205936920222637
1347,ridge,2103,53,F093,lambda_1se,0.1578388007813352,2695,2367,0.8782931354359926,0.12170686456400737
1347,ridge,8804,53,F094,lambda_1se,0.1578388007813352,2695,2356,0.8742115027829314,0.12578849721706864
1347,ridge,1745,53,F095,lambda_1se,0.1578388007813352,2695,2364,0.8771799628942486,0.1228200371057514
1347,ridge,2968,53,F096,lambda_1se,0.1578388007813352,2695,2374,0.8808905380333952,0.11910946196660477
1347,ridge,4452,53,F097,lambda_1se,0.1578388007813352,2695,2378,0.8823747680890538,0.1176252319109462
1347,ridge,9379,53,F098,lambda_1se,0.1578388007813352,2695,2405,0.8923933209647495,0.10760667903525045
1347,ridge,6928,53,F099,lambda_1se,0.1578388007813352,2695,2389,0.8864564007421151,0.11354359925788493
1347,ridge,5415,53,F100,lambda_1se,0.1578388007813352,2695,2365,0.8775510204081632,0.12244897959183676
108,lasso,6973,29,A001,lambda_aicc,3.280932345251636e-5,2695,2317,0.8597402597402597,0.1402597402597403
108,lasso,3333,29,A002,lambda_aicc,3.280932345251636e-5,2695,2234,0.8289424860853433,0.17105751391465673
108,lasso,3249,29,A003,lambda_aicc,3.280932345251636e-5,2695,2147,0.796660482374768,0.20333951762523195
108,lasso,3267,29,A004,lambda_aicc,3.280932345251636e-5,2695,2330,0.8645640074211502,0.13543599257884975
108,lasso,4283,29,A005,lambda_aicc,3.280932345251636e-5,2695,2129,0.7899814471243043,0.2100185528756957
108,lasso,7341,29,A006,lambda_aicc,3.280932345251636e-5,2695,2211,0.8204081632653061,0.17959183673469392
108,lasso,924,29,A007,lambda_aicc,3.280932345251636e-5,2695,2255,0.8367346938775511,0.16326530612244894
108,lasso,2982,29,A008,lambda_aicc,3.280932345251636e-5,2695,2224,0.8252319109461966,0.17476808905380337
108,lasso,2241,29,A009,lambda_aicc,3.280932345251636e-5,2695,2276,0.8445269016697589,0.15547309833024114
108,lasso,2441,29,A010,lambda_aicc,3.280932345251636e-5,2695,2293,0.850834879406308,0.14916512059369202
108,lasso,6768,29,A011,lambda_aicc,3.280932345251636e-5,2695,2207,0.8189239332096475,0.18107606679035249
108,lasso,4630,29,A012,lambda_aicc,3.280932345251636e-5,2695,2276,0.8445269016697589,0.15547309833024114
108,lasso,2452,29,A013,lambda_aicc,3.280932345251636e-5,2695,2340,0.8682745825602969,0.13172541743970312
108,lasso,2846,29,A014,lambda_aicc,3.280932345251636e-5,2695,2206,0.8185528756957329,0.18144712430426713
108,lasso,8655,29,A015,lambda_aicc,3.280932345251636e-5,2695,2163,0.8025974025974026,0.19740259740259736
108,lasso,4008,29,A016,lambda_aicc,3.280932345251636e-5,2695,2153,0.798886827458256,0.201113172541744
