training_size,trial_i,rf_mtry,rf_ntree,rf_replace,trial_seed,total,correct,accuracy,misclassification,trial_run,seed
108.0,70,1,10.0,TRUE,6751,2587,2095,0.8098183223811365,0.1901816776188635,70,6751
540.0,70,1,10.0,TRUE,55495,2155,1840,0.8538283062645011,0.14617169373549888,70,55495
1347.0,70,1,10.0,TRUE,64996,1348,1164,0.8635014836795252,0.13649851632047483,70,64996
108.0,71,1,10.0,TRUE,29535,2587,2203,0.8515655199072284,0.1484344800927716,71,29535
540.0,71,1,10.0,TRUE,69404,2155,1709,0.7930394431554524,0.20696055684454762,71,69404
1347.0,71,1,10.0,TRUE,37687,1348,1183,0.8775964391691394,0.12240356083086057,71,37687
108.0,72,1,10.0,TRUE,26041,2587,2143,0.8283726323927328,0.17162736760726716,72,26041
540.0,72,1,10.0,TRUE,93815,2155,1841,0.854292343387471,0.14570765661252905,72,93815
1347.0,72,1,10.0,TRUE,42997,1348,1127,0.836053412462908,0.16394658753709201,72,42997
108.0,73,1,10.0,TRUE,32636,2587,2028,0.7839195979899497,0.2160804020100503,73,32636
540.0,73,1,10.0,TRUE,53375,2155,1821,0.8450116009280743,0.15498839907192574,73,53375
1347.0,73,1,10.0,TRUE,62458,1348,1151,0.8538575667655787,0.14614243323442133,73,62458
108.0,74,1,10.0,TRUE,17005,2587,1482,0.5728643216080402,0.42713567839195976,74,17005
540.0,74,1,10.0,TRUE,10908,2155,1778,0.8250580046403713,0.17494199535962873,74,10908
1347.0,74,1,10.0,TRUE,10705,1348,1167,0.865727002967359,0.13427299703264095,74,10705
108.0,75,1,10.0,TRUE,9254,2587,2081,0.8044066486277541,0.19559335137224587,75,9254
540.0,75,1,10.0,TRUE,53339,2155,1810,0.839907192575406,0.16009280742459397,75,53339
1347.0,75,1,10.0,TRUE,89439,1348,1152,0.8545994065281899,0.1454005934718101,75,89439
108.0,76,1,10.0,TRUE,70843,2587,2103,0.8129107073830691,0.18708929261693086,76,70843
540.0,76,1,10.0,TRUE,90441,2155,1829,0.8487238979118329,0.1512761020881671,76,90441
1347.0,76,1,10.0,TRUE,43570,1348,1107,0.8212166172106825,0.1787833827893175,76,43570
108.0,77,1,10.0,TRUE,46676,2587,1892,0.7313490529570932,0.2686509470429068,77,46676
540.0,77,1,10.0,TRUE,59675,2155,1837,0.8524361948955916,0.14756380510440836,77,59675
1347.0,77,1,10.0,TRUE,30605,1348,1120,0.8308605341246291,0.16913946587537088,77,30605
108.0,78,1,10.0,TRUE,57068,2587,2014,0.7785079242365675,0.22149207576343255,78,57068
540.0,78,1,10.0,TRUE,47810,2155,1814,0.8417633410672853,0.15823665893271466,78,47810
1347.0,78,1,10.0,TRUE,69500,1348,1166,0.8649851632047477,0.13501483679525228,78,69500
108.0,79,1,10.0,TRUE,73356,2587,2059,0.7959025898724391,0.20409741012756089,79,73356
540.0,79,1,10.0,TRUE,51535,2155,1791,0.8310904872389792,0.16890951276102084,79,51535
1347.0,79,1,10.0,TRUE,98305,1348,1152,0.8545994065281899,0.1454005934718101,79,98305
108.0,80,1,10.0,TRUE,91581,2587,1448,0.559721685349826,0.440278314650174,80,91581
540.0,80,1,10.0,TRUE,47137,2155,1796,0.8334106728538283,0.1665893271461717,80,47137
1347.0,80,1,10.0,TRUE,37972,1348,1099,0.8152818991097923,0.18471810089020768,80,37972
108.0,81,1,10.0,TRUE,93656,2587,1991,0.7696173173560108,0.2303826826439892,81,93656
540.0,81,1,10.0,TRUE,94221,2155,1839,0.8533642691415313,0.1466357308584687,81,94221
1347.0,81,1,10.0,TRUE,90464,1348,1161,0.8612759643916914,0.1387240356083086,81,90464
108.0,82,1,10.0,TRUE,78248,2587,1986,0.7676845767298028,0.23231542327019716,82,78248
540.0,82,1,10.0,TRUE,62481,2155,1739,0.8069605568445476,0.1930394431554524,82,62481
1347.0,82,1,10.0,TRUE,67399,1348,1146,0.8501483679525222,0.14985163204747776,82,67399
108.0,83,1,10.0,TRUE,93481,2587,2102,0.8125241592578276,0.18747584074217238,83,93481
540.0,83,1,10.0,TRUE,53321,2155,1821,0.8450116009280743,0.15498839907192574,83,53321
1347.0,83,1,10.0,TRUE,33596,1348,1102,0.8175074183976261,0.18249258160237392,83,33596
108.0,84,1,10.0,TRUE,78871,2587,2151,0.8314650173946656,0.1685349826053344,84,78871
540.0,84,1,10.0,TRUE,12296,2155,1808,0.8389791183294664,0.16102088167053363,84,12296
1347.0,84,1,10.0,TRUE,95673,1348,1191,0.8835311572700296,0.11646884272997038,84,95673
108.0,85,1,10.0,TRUE,3242,2587,1818,0.7027444916892153,0.29725550831078473,85,3242
540.0,85,1,10.0,TRUE,25904,2155,1802,0.8361948955916473,0.16380510440835272,85,25904
1347.0,85,1,10.0,TRUE,87421,1348,1147,0.8508902077151336,0.14910979228486643,85,87421
108.0,86,1,10.0,TRUE,84347,2587,2195,0.8484731349052957,0.15152686509470426,86,84347
540.0,86,1,10.0,TRUE,1682,2155,1760,0.8167053364269141,0.18329466357308588,86,1682
1347.0,86,1,10.0,TRUE,18317,1348,1093,0.8108308605341247,0.18916913946587532,86,18317
108.0,87,1,10.0,TRUE,11555,2587,2077,0.8028604561267878,0.1971395438732122,87,11555
540.0,87,1,10.0,TRUE,47718,2155,1835,0.851508120649652,0.14849187935034802,87,47718
1347.0,87,1,10.0,TRUE,94726,1348,1139,0.8449554896142433,0.15504451038575673,87,94726
108.0,88,1,10.0,TRUE,82359,2587,2031,0.7850792423656745,0.2149207576343255,88,82359
540.0,88,1,10.0,TRUE,80944,2155,1850,0.8584686774941995,0.14153132250580047,88,80944
1347.0,88,1,10.0,TRUE,91333,1348,1077,0.7989614243323442,0.20103857566765582,88,91333
108.0,89,1,10.0,TRUE,69832,2587,2038,0.7877850792423656,0.21221492075763437,89,69832
540.0,89,1,10.0,TRUE,8282,2155,1769,0.8208816705336427,0.1791183294663573,89,8282
1347.0,89,1,10.0,TRUE,11777,1348,1146,0.8501483679525222,0.14985163204747776,89,11777
108.0,90,1,10.0,TRUE,79154,2587,1543,0.5964437572477773,0.4035562427522227,90,79154
540.0,90,1,10.0,TRUE,99338,2155,1807,0.8385150812064965,0.16148491879350346,90,99338
1347.0,90,1,10.0,TRUE,68918,1348,1172,0.8694362017804155,0.13056379821958453,90,68918
108.0,91,1,10.0,TRUE,14695,2587,1512,0.584460765365288,0.415539234634712,91,14695
540.0,91,1,10.0,TRUE,31699,2155,1843,0.8552204176334107,0.14477958236658928,91,31699
1347.0,91,1,10.0,TRUE,15556,1348,1129,0.8375370919881305,0.16246290801186947,91,15556
108.0,92,1,10.0,TRUE,99254,2587,2060,0.7962891379976808,0.20371086200231925,92,99254
540.0,92,1,10.0,TRUE,74618,2155,1802,0.8361948955916473,0.16380510440835272,92,74618
1347.0,92,1,10.0,TRUE,39196,1348,1124,0.8338278931750742,0.16617210682492578,92,39196
108.0,93,1,10.0,TRUE,54987,2587,2007,0.7758020873598763,0.22419791264012368,93,54987
