training_size,cost,gamma,seeds,total,correct,testfold_name,accuracy,misclassification
108.0,50.0,0.0,64439,11,6,Fold08,0.5454545454545454,0.4545454545454546
108.0,50.0,0.0,64439,10,6,Fold09,0.6,0.4
108.0,50.0,0.0,64439,11,6,Fold10,0.5454545454545454,0.4545454545454546
540.0,50.0,0.0,38974,54,32,Fold01,0.5925925925925926,0.40740740740740744
540.0,50.0,0.0,38974,55,32,Fold02,0.5818181818181818,0.4181818181818182
540.0,50.0,0.0,38974,54,32,Fold03,0.5925925925925926,0.40740740740740744
540.0,50.0,0.0,38974,53,31,Fold04,0.5849056603773585,0.41509433962264153
540.0,50.0,0.0,38974,55,32,Fold05,0.5818181818181818,0.4181818181818182
540.0,50.0,0.0,38974,53,31,Fold06,0.5849056603773585,0.41509433962264153
540.0,50.0,0.0,38974,54,31,Fold07,0.5740740740740741,0.42592592592592593
540.0,50.0,0.0,38974,53,31,Fold08,0.5849056603773585,0.41509433962264153
540.0,50.0,0.0,38974,55,32,Fold09,0.5818181818181818,0.4181818181818182
540.0,50.0,0.0,38974,54,32,Fold10,0.5925925925925926,0.40740740740740744
1347.0,50.0,0.0,69837,135,75,Fold01,0.5555555555555556,0.4444444444444444
1347.0,50.0,0.0,69837,135,74,Fold02,0.5481481481481482,0.45185185185185184
1347.0,50.0,0.0,69837,134,74,Fold03,0.5522388059701493,0.4477611940298507
1347.0,50.0,0.0,69837,136,75,Fold04,0.5514705882352942,0.44852941176470584
1347.0,50.0,0.0,69837,135,75,Fold05,0.5555555555555556,0.4444444444444444
1347.0,50.0,0.0,69837,135,75,Fold06,0.5555555555555556,0.4444444444444444
1347.0,50.0,0.0,69837,134,74,Fold07,0.5522388059701493,0.4477611940298507
1347.0,50.0,0.0,69837,134,74,Fold08,0.5522388059701493,0.4477611940298507
1347.0,50.0,0.0,69837,134,74,Fold09,0.5522388059701493,0.4477611940298507
1347.0,50.0,0.0,69837,135,75,Fold10,0.5555555555555556,0.4444444444444444
108.0,100.0,0.0,54392,10,5,Fold01,0.5,0.5
108.0,100.0,0.0,54392,10,5,Fold02,0.5,0.5
